,gain_importance
onehot__merchantCategoryCode_mobileapps,164.2666778564453
onehot__merchantName_top_Fast Auto Services,159.33407592773438
onehot__posEntryMode_90,152.5814971923828
onehot__merchantName_top_Shell Gas #746906,147.965087890625
onehot__merchantName_top_Fresh Online Services,139.70986938476562
onehot__merchantName_top_EZ Putt Putt #69446,134.36764526367188
onehot__merchantName_top_Downtown BBQ,127.51909637451172
onehot__merchantName_top_1st Sandwitch Bar #941288,122.75257873535156
onehot__merchantCategoryCode_subscriptions,119.66288757324219
onehot__merchantName_top_Blue Mountain eCards,115.78668975830078
onehot__merchantName_top_Franks Pub #632075,114.43267822265625
onehot__merchantCategoryCode_food_delivery,112.21717834472656
onehot__merchantName_top_Boston Cafe #592935,110.79350280761719
onehot__merchantName_top_34th Pub,110.0987777709961
onehot__merchantName_top_Washington News,109.46931457519531
onehot__merchantName_top_EZ Putt Putt #982199,108.77848052978516
onehot__merchantName_top_AMC #128743,99.55998229980469
onehot__merchantName_top_Texas Gas #983233,98.34393310546875
onehot__merchantName_top_Texas Gas #143387,98.23614501953125
onehot__merchantName_top_Ray's Fries #24425,95.96813201904297
onehot__merchantName_top_Texas Gas #523608,95.95362091064453
creditLimit,95.63322448730469
onehot__merchantName_top_EZ Putt Putt #240241,94.57322692871094
onehot__merchantCategoryCode_entertainment,93.11198425292969
onehot__merchantName_top_other,91.94285583496094
onehot__merchantName_top_Fast Repair,89.54672241210938
merchant_total_txns,88.8232421875
onehot__merchantName_top_Uptown Diner,88.81608581542969
onehot__merchantName_top_oldnavy.com,88.14301300048828
avg_txn_amt_card,86.75528717041016
onehot__merchantCountryCode_US,85.71420288085938
onehot__merchantName_top_netflix.com,84.88810729980469
onehot__merchantName_top_discount.com,84.62940979003906
onehot__posEntryMode_,84.61045837402344
onehot__merchantCategoryCode_airline,84.43250274658203
std_txn_amt_card,83.07945251464844
onehot__merchantName_top_AMC #606218,83.02427673339844
onehot__acqCountry_PR,82.77665710449219
onehot__merchantCategoryCode_fuel,81.95487213134766
onehot__merchantName_top_Washington Times,80.94701385498047
transactionAmount,80.56864929199219
onehot__merchantName_top_John's Cafe,80.29425811767578
merchant_avg_amt,80.16698455810547
onehot__merchantName_top_Franks Pub #86033,79.75777435302734
onehot__merchantCategoryCode_online_retail,79.60401916503906
onehot__merchantCategoryCode_fastfood,79.09191131591797
onehot__merchantName_top_cheapfast.com,79.09152221679688
onehot__merchantCountryCode_MEX,79.02018737792969
onehot__merchantName_top_AMC #724446,78.93145751953125
onehot__merchantName_top_Mobile eCards,77.3714828491211
onehot__merchantName_top_Seattle Times,73.85868072509766
onehot__merchantName_top_Dinosaur Sandwitch Bar #303701,73.28087615966797
onehot__merchantName_top_GreenCook,73.15140533447266
onehot__merchantName_top_34th BBQ #207369,72.87490844726562
onehot__merchantName_top_Fast Tire,71.31282043457031
onehot__merchantName_top_Boston Bistro,70.9139633178711
onehot__merchantName_top_abc.com,69.55988311767578
onehot__merchantName_top_Daily Fresh,69.51824951171875
currentBalance,69.24873352050781
availableMoney,68.6510238647461
onehot__merchantCategoryCode_health,68.58402252197266
onehot__merchantName_top_Mobil Gas #325452,68.42461395263672
onehot__merchantName_top_Mobil Gas #917403,68.4069595336914
onehot__merchantName_top_Merchants Auto Services,67.95388793945312
onehot__posEntryMode_09,66.96552276611328
onehot__posEntryMode_02,66.60161590576172
onehot__posEntryMode_05,66.4610366821289
onehot__merchantName_top_Best Bistro #262998,65.12509155273438
onehot__merchantCategoryCode_auto,64.6004409790039
onehot__merchantName_top_Washington Repair,63.9356689453125
onehot__merchantName_top_Play Store,63.91978454589844
onehot__merchantName_top_Washington Tire,63.56553649902344
onehot__merchantName_top_South BBQ,63.55633544921875
onehot__acqCountry_US,63.10562515258789
onehot__merchantName_top_EZ Putt Putt #551896,63.04673385620117
credit_utilization,63.02637481689453
onehot__merchantName_top_Franks Pub #934222,62.64493942260742
onehot__merchantName_top_hulu.com,61.86979675292969
onehot__merchantName_top_Uptown Cafe,61.49123001098633
onehot__merchantName_top_Washington Auto Body,61.09589767456055
onehot__merchantName_top_34th BBQ #538716,60.52125930786133
onehot__merchantCategoryCode_gym,59.69241714477539
Trans_Hour,59.07167434692383
onehot__merchantName_top_ebay.com,57.89093017578125
onehot__merchantName_top_Franks Pub #87366,57.32400894165039
onehot__merchantName_top_alibaba.com,56.60399627685547
onehot__merchantName_top_Best Deli #100511,56.3689079284668
onehot__merchantCountryCode_PR,56.127201080322266
onehot__merchantCategoryCode_rideshare,55.87380599975586
onehot__merchantName_top_gap.com,55.10212707519531
onehot__merchantName_top_Dinosaur Restaurant,55.0755615234375
onehot__merchantName_top_Convenient Auto Services,54.83821487426758
onehot__merchantName_top_Franks Pub #53336,54.780677795410156
onehot__merchantName_top_Best Deli #109276,54.41377639770508
onehot__merchantName_top_Ray's Fries #153092,53.930397033691406
onehot__merchantName_top_Oklahoma City Post,52.97270202636719
onehot__merchantCategoryCode_personal care,52.762611389160156
onehot__merchantCountryCode_,52.44511795043945
onehot__merchantCategoryCode_online_gifts,51.3948860168457
onehot__merchantName_top_Apple iTunes,50.90372085571289
onehot__merchantName_top_Convenient Repair,49.10222244262695
onehot__merchantName_top_Eazy Tire,48.812744140625
onehot__merchantName_top_Shell Gas #284394,47.004512786865234
onehot__merchantName_top_South Restaurant,46.82651901245117
onehot__merchantName_top_1st Sandwitch Bar #772439,45.63235855102539
onehot__merchantCountryCode_CAN,45.075958251953125
onehot__merchantName_top_Regal Cinemas #729464,43.853981018066406
onehot__merchantName_top_EZ Putt Putt #755869,42.79890060424805
onehot__merchantName_top_Eazy Repair,42.69534683227539
onehot__merchantName_top_sears.com,42.28190612792969
onehot__merchantCategoryCode_online_subscriptions,40.77510452270508
onehot__merchantName_top_Dallas Journal,38.78329849243164
onehot__merchantName_top_AMC #692956,34.18242645263672
onehot__merchantName_top_United Airlines,29.667682647705078
onehot__merchantName_top_Texas Gas #311659,28.989421844482422
onehot__acqCountry_,27.353784561157227
onehot__acqCountry_MEX,22.397266387939453
onehot__merchantName_top_Fresh Flowers,19.35129737854004
onehot__acqCountry_CAN,18.084619522094727
onehot__merchantName_top_34th BBQ #436606,12.038825988769531
onehot__merchantName_top_Sunoco Gas #748028,9.02667236328125
onehot__transactionType_ADDRESS_VERIFICATION,4.659065246582031
onehot__merchantCategoryCode_furniture,0.1161041259765625
